id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
0;140;"Oct 16, 2013 - PC (Microsoft Windows); Aug 30, 2016 - Xbox One; Sep 01, 2016 - Wii U; Sep 06, 2016 - PlayStation 4; Jan 09, 2020 - Nintendo Switch";Carlsen Games;Carlsen Games;;Indie, Music, Platform;Single player;Action;;Unity;;Side view;70;tbd
1;007-legends;"Oct 16, 2012 - PlayStation 3; Oct 16, 2012 - Xbox 360; Nov 01, 2012 - PC (Microsoft Windows); Dec 07, 2012 - Wii U";Activision;Eurocom;;Shooter;Multiplayer, Single player, Split screen;Action;"Wii U: Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; PlayStation 3: Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes";IW Engine;James Bond;First person;45;4,5
2;007-quantum-of-solace;"Oct 31, 2008 - PlayStation 2; Oct 31, 2008 - PlayStation 3; Oct 31, 2008 - Wii; Oct 31, 2008 - PC (Microsoft Windows); Oct 31, 2008 - Xbox 360; Oct 31, 2008 - Nintendo DS";Activision, Square Enix;Treyarch, Beenox, Vicarious Visions, Eurocom;;Shooter;Multiplayer, Single player, Split screen;Action;;IW Engine;James Bond;First person, Third person;70;6
3;007-racing;Nov 20, 2000 - PlayStation;Electronic Arts;Eutechnyx;;Racing;Multiplayer, Single player, Split screen;Action;;;James Bond;Third person;51;4,6
4;007-the-world-is-not-enough;"Nov 01, 2000 - Nintendo 64; Nov 06, 2000 - PlayStation; Sep 11, 2001 - Game Boy Color";Electronic Arts;Eurocom, Black Ops Entertainment, 2n Productions;;Shooter;Multiplayer, Single player;Stealth;;;James Bond;First person;81;7,7
5;0-day-attack-on-earth;Dec 23, 2009 - Xbox 360;Square Enix;Square Enix;;Shooter;Co-operative, Multiplayer, Single player;Science fiction;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric;41;4,5
6;0rbitalis;"Apr 16, 2014 - PC (Microsoft Windows); May 28, 2015 - Mac";Mastertronic;Alan Zucconi;;Indie, Puzzle, Simulator;Single player;Sandbox;;;;;73;7,3
7;1000-tiny-claws;"Oct 04, 2011 - PlayStation Portable; Oct 18, 2011 - PlayStation Network";Mediatonic;Mediatonic;;Indie;;Action;;;;Bird view / Isometric;76;6,3
8;1001-spikes;"Jun 03, 2014 - PlayStation Network; Jun 03, 2014 - Mac; Jun 03, 2014 - Nintendo 3DS; Jun 03, 2014 - PlayStation Vita; Jun 03, 2014 - PlayStation 4; Jun 03, 2014 - Xbox One; Jun 03, 2014 - Linux; Jun 03, 2014 - PC (Microsoft Windows); Jun 03, 2014 - Wii U";Nicalis, Inc.;Nicalis, Inc.;8bits Fanatics;Adventure, Indie, Platform;Multiplayer, Single player;Action;"PC (Microsoft Windows): Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Wii U: Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;Aban Hawkins;Side view;78;6,6
9;100-classic-books;Dec 26, 2008 - Nintendo DS;Nintendo;Genius Sonority;;;Single player;Educational;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Touch! Generations;;70;6
10;100ft-robot-golf;"Oct 10, 2016 - PlayStation Network; Oct 10, 2016 - PlayStation 4";;No Goblin;;Fighting, Indie, Sport;Multiplayer, Single player, Split screen;Action, Comedy, Science fiction;;;;Third person, Virtual Reality;56;5,9
11;101-in-1-explosive-megamix;"Sep 22, 2011 - WiiWare; Nov 13, 2011 - Wii";Nordcurrent;;;;;;;;101-in-1 Megamix;;46;tbd
12;101-in-1-sports-party-megamix;Nov 19, 2010 - Wii;Atlus, Nordcurrent;Nordcurrent;;Sport;Single player, Split screen;Action, Party;;;101-in-1 Megamix;;41;tbd
13;1080-avalanche;Nov 28, 2003 - Nintendo GameCube;Nintendo;Nintendo Software Technology;;Racing, Sport;Single player, Split screen;Action;;;1080 Snowboarding;Third person;73;7,9
14;10-second-ninja;Mar 05, 2014 - PC (Microsoft Windows);Mastertronic;Four Circle Interactive;;Indie, Platform;Single player;Action;;;;Side view;72;7,1
15;10-second-ninja-x;"Jul 19, 2016 - PlayStation Vita; Jul 19, 2016 - PlayStation 4; Jul 19, 2016 - Xbox One; Jul 19, 2016 - PC (Microsoft Windows)";Curve Digital;Four Circle Interactive;;Arcade, Indie, Platform, Puzzle;Single player;Action;;;10 Second Ninja;Side view;82;4,5
16;11-11-memories-retold;"Nov 09, 2018 - PlayStation 4; Nov 09, 2018 - Xbox One; Nov 09, 2018 - PC (Microsoft Windows)";Bandai Namco Entertainment Europe;DigixArt, Aardman Digital;;Adventure;Single player;Historical;;;;;77;7,7
17;12-is-better-than-6;"Nov 20, 2015 - PC (Microsoft Windows); Nov 25, 2015 - Linux; Jun 14, 2016 - Mac; Mar 05, 2019 - Nintendo Switch";Pinkapp games, HypeTrain Digital;Ink Stains Games;;Indie, Shooter;Single player;Action;;;;Bird view / Isometric;59;6,3
18;1-2-switch;Mar 03, 2017 - Nintendo Switch;Nintendo;Nintendo EPD;;;Multiplayer;Party;Nintendo Switch: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Auditory, Text;58;4,8
19;187-ride-or-die;"Aug 23, 2005 - PlayStation 2; Aug 23, 2005 - Xbox";Ubisoft Entertainment;Ubisoft Paris;;Racing, Shooter;Multiplayer, Single player, Split screen;Action;;;;Third person;52;7
20;18-wheeler-american-pro-trucker;"Jan 01, 1999 - Arcade; Oct 12, 2000 - Dreamcast; Nov 14, 2001 - PlayStation 2; Feb 18, 2002 - Nintendo GameCube";Sega, Acclaim Entertainment;Sega AM2;;Racing;Single player, Split screen;Action;;;;First person, Third person;67;6,6
21;1942-joint-strike;"Jul 23, 2008 - Xbox Live Arcade; Jul 24, 2008 - PlayStation Network";Capcom;Backbone Entertainment;Backbone Entertainment;Shooter;Multiplayer, Single player;Action, Fantasy, Historical, Warfare;"PlayStation Network: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Xbox Live Arcade: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;194x;Bird view / Isometric;69;5,9
22;1950s-lawn-mower-kids;Sep 01, 2011 - Nintendo DSi;Zordix AB;;;Real Time Strategy (RTS), Strategy;;Comedy;;;;;43;tbd
23;1954-alcatraz;Mar 12, 2014 - PC (Microsoft Windows);Daedalic Entertainment;Daedalic Entertainment, Irresponsible Games;;Adventure, Indie, Point-and-click;Single player;Educational, Non-fiction;;;;Side view;58;6,3
24;1979-revolution-black-friday;"Apr 05, 2016 - Mac; Apr 05, 2016 - PC (Microsoft Windows); Jun 10, 2016 - iOS; Dec 14, 2016 - Android; Jun 30, 2018 - Xbox One; Aug 01, 2018 - PlayStation 4; Aug 02, 2018 - Nintendo Switch";iNK Stories, Digerati Distribution;N-Fusion Interactive, iNK Stories;;Adventure, Indie;Single player;Action, Drama, Educational, Historical, Non-fiction, Warfare;;Unity;;Third person;80;7,5
25;198x;"Jun 20, 2019 - PlayStation 4; Jun 20, 2019 - Xbox One; Jun 20, 2019 - PC (Microsoft Windows); Jan 23, 2020 - Nintendo Switch";Hi-Bit Studios;Hi-Bit Studios;;Arcade, Indie;Single player;Action;;Unity;;Side view;74;5,8
26;1nsane;Dec 31, 2000 - PC (Microsoft Windows);Codemasters;Invictus Games Ltd;;Arcade, Racing;Multiplayer, Single player, Split screen;Action;;;1nsane;First person, Third person;69;7,8
27;2002-fifa-world-cup;"Apr 22, 2002 - PlayStation 2; Apr 22, 2002 - Xbox; Apr 26, 2002 - PlayStation; Apr 26, 2002 - PC (Microsoft Windows); Apr 30, 2002 - Nintendo GameCube";EA Sports;EA Canada;;Sport;Multiplayer, Single player;Non-fiction;;;FIFA World Cup;Bird view / Isometric;80;7,6
28;2010-fifa-world-cup-south-africa;"Apr 27, 2010 - PlayStation 3; Apr 27, 2010 - iOS; Apr 27, 2010 - Wii; Apr 27, 2010 - PlayStation Portable; Apr 27, 2010 - Xbox 360";EA Sports;EA Canada, HB Studios;;Simulator, Sport;Single player, Split screen;Action, Non-fiction;;;FIFA World Cup;Third person;83;8,2
29;2014-fifa-world-cup-brazil;"Apr 15, 2014 - PlayStation Network; Apr 15, 2014 - PlayStation 3; Apr 15, 2014 - Xbox 360";EA Sports;EA Canada;;Sport;Multiplayer, Single player, Split screen;;;Impact Engine;FIFA World Cup;Bird view / Isometric, Third person;74;4,4
30;2064-read-only-memories-integral;Aug 14, 2018 - Nintendo Switch;MidBoss;;;Adventure, Point-and-click;Single player;Thriller;;;;Side view;74;5,8
31;20xx;"Aug 16, 2017 - PC (Microsoft Windows); Jul 10, 2018 - PlayStation 4; Jul 10, 2018 - Nintendo Switch; Jul 11, 2018 - Xbox One";Batterystaple Games;Batterystaple Games, Fire Hose Games;;Indie, Platform, Shooter;Co-operative, Multiplayer, Single player;Action, Science fiction;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;Custom built engine, C++;;Side view;77;8
32;24-the-game;Feb 28, 2006 - PlayStation 2;2K Games, Sony Computer Entertainment Europe;SCE Cambridge Studio;;Adventure, Shooter;Single player;Action;;;;Third person;62;8,1
33;25-to-life;"Jan 17, 2006 - PlayStation 2; Jan 17, 2006 - Xbox; Jan 17, 2006 - PC (Microsoft Windows)";Eidos Interactive;Avalanche Software;;Shooter;Multiplayer, Single player, Split screen;Action;;;;Third person;41;7,9
34;2dark;"Mar 10, 2017 - PlayStation 4; Mar 10, 2017 - Xbox One; Mar 10, 2017 - PC (Microsoft Windows)";Bigben Interactive;Gloomywood;;Adventure, Indie;Single player;Action, Horror, Stealth;;;;Bird view / Isometric;68;5,5
35;300-march-to-glory;Mar 27, 2007 - PlayStation Portable;;;;Adventure;;Action;;;;;55;6,8
36;39-days-to-mars;"Apr 25, 2018 - Mac; Apr 25, 2018 - Linux; Apr 25, 2018 - PC (Microsoft Windows); Feb 06, 2019 - Xbox One; May 16, 2019 - Nintendo Switch";It's Anecdotal;It's Anecdotal;;Adventure, Indie, Puzzle;Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Side view;71;3,9
37;3d-after-burner-ii;Jan 15, 2015 - Nintendo 3DS;;;;;;;;;;;81;7,8
38;3d-classics-kid-icarus;Jan 05, 2012 - Nintendo 3DS;Nintendo;Nintendo R&D1;Arika Co., Ltd.;Platform;Single player;;;;Kid Icarus;Side view;77;7,4
39;3d-classics-twinbee;Aug 10, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;;68;7,5
40;3d-classics-urban-champion;Jul 13, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;;37;5,7
41;3d-classics-xevious;Jun 07, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;;56;5,8
42;3d-dot-game-heroes;Nov 05, 2009 - PlayStation 3;FromSoftware, Atlus, SouthPeak Interactive;Silicon Studio;;Adventure, Role-playing (RPG);Single player;Action;;;;Bird view / Isometric, Third person;77;8,1
43;3d-fantasy-zone-ii-w;;;;;;;;;;;;81;7
44;3d-gunstar-heroes;Aug 20, 2015 - Nintendo 3DS;;;;;;;;;;;89;8
45;3d-out-run;Mar 12, 2015 - Nintendo 3DS;;;;;;;;;;;87;8
46;3d-sonic-the-hedgehog-2;Jul 21, 2015 - Nintendo 3DS;;;;Platform;Multiplayer, Single player;;;;Sonic the Hedgehog;;87;8,3
47;3d-streets-of-rage-ii;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;89;7,5
48;3d-thunder-blade;May 14, 2015 - Nintendo 3DS;;;;;;;;;;;74;7,1
49;3d-ultra-minigolf-adventures;"Dec 20, 2006 - PC (Microsoft Windows); Apr 18, 2007 - Xbox Live Arcade";Sierra Online;Wanako Studios Ltd.;;Sport;Multiplayer, Single player, Split screen;Kids;;;;Third person;66;6,1
50;3-on-3-nhl-arcade;"Feb 05, 2009 - PlayStation Network; Feb 05, 2009 - PlayStation 3; Feb 11, 2009 - Xbox Live Arcade";EA Sports;;;Sport;Multiplayer, Single player;;;;National Hockey League;Bird view / Isometric;66;7,1
51;428-shibuya-scramble;"Dec 04, 2008 - Wii; Sep 03, 2009 - PlayStation 3; Sep 17, 2009 - PlayStation Portable; Nov 03, 2011 - Android; Nov 03, 2011 - iOS; Sep 04, 2018 - PlayStation 4; Sep 04, 2018 - PC (Microsoft Windows)";Sega, Spike, Spike Chunsoft, Inc.;Chunsoft;Abstraction Games;Adventure, Visual Novel;Single player;Drama, Mystery;;;;Text;85;7,5
52;4pm;Jul 09, 2014 - PC (Microsoft Windows);4PM GAME;Bojan Brbora;;Indie;Single player;Action, Drama;;;;First person;41;4,2
53;4x4-evo-2;"Oct 30, 2001 - PC (Microsoft Windows); Nov 15, 2001 - Xbox; Sep 09, 2002 - Nintendo GameCube; Apr 11, 2003 - PlayStation 2";Gathering of Developers;Terminal Reality;;Racing, Simulator, Sport;Single player, Split screen;;;;4x4 Evolution;Third person;69;7,3
54;4x4-evolution;"Oct 29, 2000 - PC (Microsoft Windows); Oct 30, 2000 - Mac; Oct 30, 2000 - Dreamcast; Feb 26, 2001 - PlayStation 2";Gathering of Developers;Terminal Reality;;Racing;Multiplayer, Single player;;;;4x4 Evolution;Third person;74;7
55;50-cent-blood-on-the-sand;"Feb 20, 2009 - PlayStation 3; Feb 20, 2009 - Xbox 360";Bethesda Softworks, THQ;Swordfish Studios;;Shooter;Co-operative, Multiplayer, Single player;Action;;;50 Cent;Third person;72;6,9
