id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective
0;140;"Oct 16, 2013 - PC (Microsoft Windows); Aug 30, 2016 - Xbox One; Sep 01, 2016 - Wii U; Sep 06, 2016 - PlayStation 4; Jan 09, 2020 - Nintendo Switch";Carlsen Games;Carlsen Games;;Indie, Music, Platform;Single player;Action;;Unity;;Side view
1;7554-glorious-memories-revived;Dec 16, 2011 - PC (Microsoft Windows);;;;Shooter;Co-operative, Single player;Action, Historical;;;;First person
2;007-legends;"Oct 16, 2012 - PlayStation 3; Oct 16, 2012 - Xbox 360; Nov 01, 2012 - PC (Microsoft Windows); Dec 07, 2012 - Wii U";Activision;Eurocom;;Shooter;Multiplayer, Single player, Split screen;Action;"Wii U: Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; PlayStation 3: Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes; Offline Co-op max players: , Online Co-op max players: , Online max players: 12, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen  yes, Drop in/out  yes";IW Engine;James Bond;First person
3;james-bond-007-nightfire;"Nov 18, 2002 - PlayStation 2; Nov 18, 2002 - Xbox; Nov 18, 2002 - Nintendo GameCube; Nov 28, 2002 - PC (Microsoft Windows); Mar 17, 2003 - Game Boy Advance; Jun 21, 2004 - Mac";Electronic Arts, Aspyr Media;Eurocom, Gearbox Software, JV Games, TransGaming Inc.;;Shooter;Single player, Split screen;Action;;;James Bond;First person
4;007-quantum-of-solace;"Oct 31, 2008 - PlayStation 2; Oct 31, 2008 - PlayStation 3; Oct 31, 2008 - Wii; Oct 31, 2008 - PC (Microsoft Windows); Oct 31, 2008 - Xbox 360; Oct 31, 2008 - Nintendo DS";Activision, Square Enix;Treyarch, Beenox, Vicarious Visions, Eurocom;;Shooter;Multiplayer, Single player, Split screen;Action;;IW Engine;James Bond;First person, Third person
5;007-racing;Nov 20, 2000 - PlayStation;Electronic Arts;Eutechnyx;;Racing;Multiplayer, Single player, Split screen;Action;;;James Bond;Third person
6;007-the-world-is-not-enough;"Nov 01, 2000 - Nintendo 64; Nov 06, 2000 - PlayStation; Sep 11, 2001 - Game Boy Color";Electronic Arts;Eurocom, Black Ops Entertainment, 2n Productions;;Shooter;Multiplayer, Single player;Stealth;;;James Bond;First person
7;0-day-attack-on-earth;Dec 23, 2009 - Xbox 360;Square Enix;Square Enix;;Shooter;Co-operative, Multiplayer, Single player;Science fiction;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric
8;0rbitalis;"Apr 16, 2014 - PC (Microsoft Windows); May 28, 2015 - Mac";Mastertronic;Alan Zucconi;;Indie, Puzzle, Simulator;Single player;Sandbox;;;;
9;1000-tiny-claws;"Oct 04, 2011 - PlayStation Portable; Oct 18, 2011 - PlayStation Network";Mediatonic;Mediatonic;;Indie;;Action;;;;Bird view / Isometric
10;1001-spikes;"Jun 03, 2014 - PlayStation Network; Jun 03, 2014 - Mac; Jun 03, 2014 - Nintendo 3DS; Jun 03, 2014 - PlayStation Vita; Jun 03, 2014 - PlayStation 4; Jun 03, 2014 - Xbox One; Jun 03, 2014 - Linux; Jun 03, 2014 - PC (Microsoft Windows); Jun 03, 2014 - Wii U";Nicalis, Inc.;Nicalis, Inc.;8bits Fanatics;Adventure, Indie, Platform;Multiplayer, Single player;Action;"PC (Microsoft Windows): Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Wii U: Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;Aban Hawkins;Side view
11;100-classic-books;Dec 26, 2008 - Nintendo DS;Nintendo;Genius Sonority;;;Single player;Educational;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Touch! Generations;
12;100ft-robot-golf;"Oct 10, 2016 - PlayStation Network; Oct 10, 2016 - PlayStation 4";;No Goblin;;Fighting, Indie, Sport;Multiplayer, Single player, Split screen;Action, Comedy, Science fiction;;;;Third person, Virtual Reality
13;101-in-1-explosive-megamix;"Sep 22, 2011 - WiiWare; Nov 13, 2011 - Wii";Nordcurrent;;;;;;;;101-in-1 Megamix;
14;101-in-1-sports-party-megamix;Nov 19, 2010 - Wii;Atlus, Nordcurrent;Nordcurrent;;Sport;Single player, Split screen;Action, Party;;;101-in-1 Megamix;
15;1080-avalanche;Nov 28, 2003 - Nintendo GameCube;Nintendo;Nintendo Software Technology;;Racing, Sport;Single player, Split screen;Action;;;1080 Snowboarding;Third person
16;10-second-ninja;Mar 05, 2014 - PC (Microsoft Windows);Mastertronic;Four Circle Interactive;;Indie, Platform;Single player;Action;;;;Side view
17;10-second-ninja-x;"Jul 19, 2016 - PlayStation Vita; Jul 19, 2016 - PlayStation 4; Jul 19, 2016 - Xbox One; Jul 19, 2016 - PC (Microsoft Windows)";Curve Digital;Four Circle Interactive;;Arcade, Indie, Platform, Puzzle;Single player;Action;;;10 Second Ninja;Side view
18;11-11-memories-retold;"Nov 09, 2018 - PlayStation 4; Nov 09, 2018 - Xbox One; Nov 09, 2018 - PC (Microsoft Windows)";Bandai Namco Entertainment Europe;DigixArt, Aardman Digital;;Adventure;Single player;Historical;;;;
19;12-is-better-than-6;"Nov 20, 2015 - PC (Microsoft Windows); Nov 25, 2015 - Linux; Jun 14, 2016 - Mac; Mar 05, 2019 - Nintendo Switch";Pinkapp games, HypeTrain Digital;Ink Stains Games;;Indie, Shooter;Single player;Action;;;;Bird view / Isometric
20;1-2-switch;Mar 03, 2017 - Nintendo Switch;Nintendo;Nintendo EPD;;;Multiplayer;Party;Nintendo Switch: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Auditory, Text
21;187-ride-or-die;"Aug 23, 2005 - PlayStation 2; Aug 23, 2005 - Xbox";Ubisoft Entertainment;Ubisoft Paris;;Racing, Shooter;Multiplayer, Single player, Split screen;Action;;;;Third person
22;18-wheeler-american-pro-trucker;"Jan 01, 1999 - Arcade; Oct 12, 2000 - Dreamcast; Nov 14, 2001 - PlayStation 2; Feb 18, 2002 - Nintendo GameCube";Sega, Acclaim Entertainment;Sega AM2;;Racing;Single player, Split screen;Action;;;;First person, Third person
23;1942-joint-strike;"Jul 23, 2008 - Xbox Live Arcade; Jul 24, 2008 - PlayStation Network";Capcom;Backbone Entertainment;Backbone Entertainment;Shooter;Multiplayer, Single player;Action, Fantasy, Historical, Warfare;"PlayStation Network: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Xbox Live Arcade: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;194x;Bird view / Isometric
24;1950s-lawn-mower-kids;Sep 01, 2011 - Nintendo DSi;Zordix AB;;;Real Time Strategy (RTS), Strategy;;Comedy;;;;
25;1954-alcatraz;Mar 12, 2014 - PC (Microsoft Windows);Daedalic Entertainment;Daedalic Entertainment, Irresponsible Games;;Adventure, Indie, Point-and-click;Single player;Educational, Non-fiction;;;;Side view
26;1979-revolution-black-friday;"Apr 05, 2016 - Mac; Apr 05, 2016 - PC (Microsoft Windows); Jun 10, 2016 - iOS; Dec 14, 2016 - Android; Jun 30, 2018 - Xbox One; Aug 01, 2018 - PlayStation 4; Aug 02, 2018 - Nintendo Switch";iNK Stories, Digerati Distribution;N-Fusion Interactive, iNK Stories;;Adventure, Indie;Single player;Action, Drama, Educational, Historical, Non-fiction, Warfare;;Unity;;Third person
27;198x;"Jun 20, 2019 - PlayStation 4; Jun 20, 2019 - Xbox One; Jun 20, 2019 - PC (Microsoft Windows); Jan 23, 2020 - Nintendo Switch";Hi-Bit Studios;Hi-Bit Studios;;Arcade, Indie;Single player;Action;;Unity;;Side view
28;1nsane;Dec 31, 2000 - PC (Microsoft Windows);Codemasters;Invictus Games Ltd;;Arcade, Racing;Multiplayer, Single player, Split screen;Action;;;1nsane;First person, Third person
29;2002-fifa-world-cup;"Apr 22, 2002 - PlayStation 2; Apr 22, 2002 - Xbox; Apr 26, 2002 - PlayStation; Apr 26, 2002 - PC (Microsoft Windows); Apr 30, 2002 - Nintendo GameCube";EA Sports;EA Canada;;Sport;Multiplayer, Single player;Non-fiction;;;FIFA World Cup;Bird view / Isometric
30;2010-fifa-world-cup-south-africa;"Apr 27, 2010 - PlayStation 3; Apr 27, 2010 - iOS; Apr 27, 2010 - Wii; Apr 27, 2010 - PlayStation Portable; Apr 27, 2010 - Xbox 360";EA Sports;EA Canada, HB Studios;;Simulator, Sport;Single player, Split screen;Action, Non-fiction;;;FIFA World Cup;Third person
31;2014-fifa-world-cup-brazil;"Apr 15, 2014 - PlayStation Network; Apr 15, 2014 - PlayStation 3; Apr 15, 2014 - Xbox 360";EA Sports;EA Canada;;Sport;Multiplayer, Single player, Split screen;;;Impact Engine;FIFA World Cup;Bird view / Isometric, Third person
32;read-only-memories;"Jul 13, 2014 - Ouya; Oct 06, 2015 - Mac; Oct 06, 2015 - Linux; Oct 06, 2015 - PC (Microsoft Windows); Jan 17, 2017 - PlayStation Network; Jan 17, 2017 - PlayStation 4";MidBoss;MidBoss;;Adventure, Indie, Point-and-click, Visual Novel;Single player;;;Unity;;Side view
33;2064-read-only-memories-integral;Aug 14, 2018 - Nintendo Switch;MidBoss;;;Adventure, Point-and-click;Single player;Thriller;;;;Side view
34;20xx;"Aug 16, 2017 - PC (Microsoft Windows); Jul 10, 2018 - PlayStation 4; Jul 10, 2018 - Nintendo Switch; Jul 11, 2018 - Xbox One";Batterystaple Games;Batterystaple Games, Fire Hose Games;;Indie, Platform, Shooter;Co-operative, Multiplayer, Single player;Action, Science fiction;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;Custom built engine, C++;;Side view
35;24-the-game;Feb 28, 2006 - PlayStation 2;2K Games, Sony Computer Entertainment Europe;SCE Cambridge Studio;;Adventure, Shooter;Single player;Action;;;;Third person
36;25-to-life;"Jan 17, 2006 - PlayStation 2; Jan 17, 2006 - Xbox; Jan 17, 2006 - PC (Microsoft Windows)";Eidos Interactive;Avalanche Software;;Shooter;Multiplayer, Single player, Split screen;Action;;;;Third person
